source,product_name,brand,weight_volume_clean,country,energia_kcal,energia_kj,grasas_totales,grasas_saturadas,carbohidratos,azucares,proteinas,sal,fibra,score_nutricional
alcampo,ZANETTI Mozzarella búfala italiana ZANETTI 125 g.,ZANETTI,125.0,,247.0,1024.0,21.0,13.6,0.5,0.5,14.0,0.6,4.0,78.2
alcampo,POMPADOUR Manzanilla con anís 25 uds 35 g.,POMPADOUR,33.75,España,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0
alcampo,"PRODUCTO ALCAMPO Tortilla Durum PRODUCTO ALCAMPO 6 uds, 378 g.",PRODUCTO,378.0,"España, España",316.0,1332.0,7.4,1.3,53.0,1.5,8.0,1.1,4.0,100.0
alcampo,PRODUCTO ALCAMPO Brownies sin gluten 8 uds. 240 g.,PRODUCTO,240.0,"Bélgica, .",447.0,1868.0,24.0,5.6,51.0,33.0,4.9,0.24,4.0,49.5
alcampo,CASA MAS Pastel frio de atún listo para comer CASA MAS 400 g.,CASA,400.0,,291.0,1217.0,20.7,2.9,16.4,1.7,9.7,1.03,4.0,98.6
alcampo,CUÉTARA Galletas Napolitanas con un toque de canela 426 g.,CUÉTARA,426.0,España,482.0,2023.0,20.0,7.6,69.0,25.0,5.5,1.0,4.0,64.0
alcampo,MEXIFOODS Tortillas trigo 100 % integrales MEXIFOODS 8 uds. 320 g.,MEXIFOODS,320.0,"España, España",292.0,1226.0,7.5,1.4,42.0,1.9,9.7,0.88,4.0,100.0
alcampo,"RANA Raviolis de pasta fresca al huevo, rellenos de queso de cabra y cebolla caramelizada gourmet 250 g.",RANA,250.0,Italia,235.0,987.0,8.0,3.8,27.0,4.6,11.0,1.1,4.0,100.0
alcampo,MAGGI Fideos orientales (noodles) clásicos 121 g.,MAGGI,121.0,Alemania,361.0,1529.0,1.9,0.4,72.3,5.8,11.2,3.9,4.0,77.8
alcampo,"RANA Raviolis de pasta fresca al huevo, rellenos de boletus edulis 250 g.",RANA,250.0,Italia,264.0,1107.0,11.0,4.2,29.0,5.3,9.8,1.0,4.0,100.0
alcampo,AUCHAN Yogur estilo griego con limón 4 x 125 g Producto Alcampo.,AUCHAN,500.0,"España, España",135.0,565.0,7.7,5.0,14.0,13.0,2.9,0.1,4.0,100.0
alcampo,LA MOLISANA Penne rigate rayado (pasta seca) 500 g.,LA,500.0,,353.0,1498.0,1.0,0.3,70.0,4.0,14.5,0.02,4.0,100.0
alcampo,BONKA Café molido descafeinado del trópico  400 g.,BONKA,400.0,España,235.0,966.0,11.7,5.3,0.1,0.1,13.8,0.01,4.0,100.0
alcampo,HELLMANN'S Salsa barbacoa 250 ml.,HELLMANN'S,250.0,España,133.0,559.0,0.7,0.1,30.0,26.0,0.7,1.6,4.0,77.0
alcampo,"VIVESOY de Pascual Bebida vegetal de avena, sin azúcar 6 x 1 l",VIVESOY,6000.0,"España, España",40.0,168.0,1.2,0.2,5.9,0.0,0.9,0.09,4.0,100.0
alcampo,BLUE DRAGON Jugo de coco BLUE DRAGON lata de 400 ml.,BLUE,400.0,"Reino Unido, Tailandia",154.0,647.0,15.0,13.2,3.4,2.1,1.4,0.1,4.0,75.4
alcampo,"CALVO Mejillones en escabeche, 69 g",CALVO,69.0,"España, NO Aplica",231.0,957.0,19.0,2.0,0.0,0.0,13.0,1.0,4.0,100.0
alcampo,DORITOS Salsa de queso cheedar para dipear DORITOS 280 g.,DORITOS,280.0,,173.0,715.0,14.9,3.1,6.8,1.7,2.3,0.72,4.0,100.0
alcampo,CALVÉ Mayonesa sabor casero frasco 650 ml.,CALVÉ,650.0,España,391.0,1609.0,41.0,4.9,5.1,1.5,0.5,0.73,4.0,58.0
alcampo,WIN Blanco Verdejo 0% alcohol botella 75 cl.,WIN,,,29.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0
alcampo,CALVO Sardinas en aceite de girasol 84 g.,CALVO,84.0,"Marruecos, NO Aplica",389.0,1624.0,37.0,5.0,0.0,0.0,15.0,1.0,4.0,73.5
alcampo,MONSTER Energy Ultra paradise Bebida energética sin azúcar lata de 500ml,MONSTER,500.0,,3.0,12.0,0.0,0.0,0.9,0.0,0.0,0.16,4.0,100.0
alcampo,ALCAMPO ECOLÓGICO Copos suaves de avena integrales ecológicos 500 g.,ALCAMPO,500.0,"España, España",357.0,1506.0,5.0,0.9,59.9,1.5,13.9,0.01,4.0,100.0
alcampo,"DON SIMON Néctar sin azúcar añadido tropical botella de 1,5 l.",DON,1500.0,España,23.0,99.0,0.0,0.0,5.7,4.2,0.1,0.01,4.0,100.0
alcampo,SOJASUN Especialidad de soja con trocitos de cerezas  4 x 100 g.,SOJASUN,400.0,Francia,82.0,347.0,2.1,0.4,12.0,11.5,3.7,0.06,4.0,100.0
alcampo,CALVO Atún claro al natural sin aceite lata pack de 3 uds.56 g.,CALVO,168.0,"España, NO Aplica",84.0,351.0,1.0,0.0,0.0,0.0,20.0,2.0,4.0,100.0
alcampo,TIGER KHAN Jugo de coco light TIGER KHAN 400 ml.,TIGER,400.0,Sri Lanka,57.0,236.0,6.0,5.7,0.0,0.0,0.8,0.01,4.0,97.9
alcampo,FERRARINI Jamón cocido a la trufa cortado en lonchas FERRARINI Selección gourmet 100 g.,FERRARINI,100.0,Italia,145.0,609.0,7.0,2.7,0.6,0.6,20.0,1.9,4.0,100.0
alcampo,CAÑA NATURE Pulpa de aguacate fresco para untar CAÑA NATURE Tarrina de 150g.,CAÑA,150.0,España,188.0,775.0,19.1,3.5,3.7,1.0,1.8,0.38,4.0,100.0
alcampo,AUCHAN Jamoncitos de pollo 6 uds. Producto Alcampo,AUCHAN,675.0,España,112.0,470.0,4.2,1.3,0.5,0.5,19.0,0.24,4.0,100.0
alcampo,"PEPSI ZERO Refresco cola zero azúcar, zero cafeína pack 9 latas x 33 cl.",PEPSI,2970.0,,0.6,2.0,0.0,0.0,0.1,0.0,0.1,0.01,4.0,100.0
alcampo,LADRÓN DE MANZANAS Cider de manzana con frutos rojos botella 25 cl.,LADRÓN,250.0,,50.0,211.0,0.0,0.0,6.1,6.0,0.0,0.01,4.0,100.0
alcampo,NESTLÉ Sándwich relleno de helado de nata 8 x 100 ml.,NESTLÉ,600.0,,261.0,1100.0,8.3,6.2,43.0,23.0,3.7,0.4,4.0,80.4
alcampo,PEPSI ZERO Refresco cola zero sin azúcar lata 33 cl.,PEPSI,330.0,,0.6,2.0,0.0,0.0,0.1,0.0,0.05,0.01,4.0,100.0
alcampo,PRODUCTO ALCAMPO Pan rústico sin gluten PRODUCTO ALCAMPO 300 g.,PRODUCTO,300.0,España,269.0,1113.0,5.1,0.6,50.0,4.1,2.7,1.06,4.0,100.0
alcampo,"McCAIN Patatas prefritas y ultracongeladas, especiales para hacer sin aceite en el horno Forno express 500 g.",,500.0,Unión Europea,205.0,861.0,7.0,0.8,31.0,0.5,3.0,0.4,4.0,100.0
alcampo,"OLD EL PASO Tacos Shells, aperitivos fritos de maíz OLD EL PASO 12 uds. 156 g.",OLD,156.0,,509.0,2126.0,27.0,2.3,59.2,1.0,5.4,0.05,4.0,75.1
alcampo,"MEXIFOODS Tortillas de trigo MEXIFOODS WRAPS 6 uds, 370 g.",MEXIFOODS,370.0,"España, España",316.0,1332.0,7.4,1.3,53.0,1.5,8.0,1.1,4.0,100.0
alcampo,RISI Triskys originales 115 g.,RISI,115.0,España,530.0,2223.0,24.8,2.5,71.1,0.5,5.7,2.8,4.0,64.4
alcampo,"TASTE SHUKRAN Hummus tradicional, elaborado con aceite de oliva 220 g.",TASTE,220.0,España,193.0,804.0,12.0,1.7,10.0,0.5,11.0,1.2,4.0,100.0
alcampo,"PRODUCTO ALCAMPO Snacks de aceitunas y orégano con aceite de oliva, sin gluten PRODUCTO ALCAMPO 50 g.",PRODUCTO,50.0,"España, Cadiz",401.0,1697.0,5.4,0.8,85.4,1.3,1.3,2.7,4.0,87.9
alcampo,"ALCAMPO GOURMET Mezzelune de pasta fresca la huevo, rellenos de calabaza, mascarpone y salvia ALCAMPO GOURMET 250 g.",ALCAMPO,250.0,Italia,218.0,919.0,5.2,1.8,34.0,6.0,7.4,0.57,4.0,100.0
alcampo,"PEPSI ZERO Refresco de cola zero sin azúcar pack 2 botellas de 1,75 l.",PEPSI,3500.0,,0.6,2.0,0.0,0.0,0.1,0.0,0.0,0.01,4.0,100.0
alcampo,PULEVA Batido de chocolate sin colorantes ni conservantes ni azúcares añadidos PULEVA Zero 6 x 200 ml.,PULEVA,1200.0,,44.0,184.0,1.3,0.8,4.7,4.7,3.3,0.18,4.0,100.0
alcampo,PRÉSIDENT Queso de pasta blanda PRÉSIDENT SNACK 180 g.,PRÉSIDENT,180.0,"Francia, Francia",324.0,1342.0,28.0,20.0,0.5,0.5,18.0,1.3,4.0,51.0
alcampo,PRODUCTO ALCAMPO  Pipe rigate Tavola in Italia,PRODUCTO,500.0,,348.0,1476.0,1.1,0.1,71.0,3.5,12.0,0.01,4.0,100.0
alcampo,"ALCAMPO GOURMET Salchichas alemanas de cerdo, cocidas y ahumadas, tipo Bockwurst ALCAMPO GOURMET 4 x 90 g.",ALCAMPO,360.0,"Alemania, Alemania",275.0,1138.0,24.7,9.5,1.0,1.0,12.0,1.8,4.0,77.1
alcampo,Barra de pan serrana 260 g.,,260.0,"España, ESPAÑA",267.0,1131.0,1.3,0.3,54.0,2.4,8.4,1.0,4.0,100.0
alcampo,ALCAMPO ECOLÓGICO Snack de garbanzos ecológico ALCAMPO ECOLOGICO 60 g.,ALCAMPO,60.0,"Francia, .",498.0,2083.0,26.0,2.0,55.0,1.4,8.9,2.1,4.0,72.2
alcampo,"ILLY Café en cápsulas espresso Forte I9, 10 uds.",ILLY,57.0,Italia,4.0,16.0,0.06,0.02,0.5,0.01,0.2,0.2,4.0,100.0
